"Source Voltage","Source Int. Voltage","Source Current","Drain Voltage","Drain Int. Voltage","Drain Current","Gate Voltage","Gate Int. Voltage","Gate Current","Substrate Voltage","Substrate Int. Voltage","Substrate Current"
0.0000000000e+00,0.0000000000e+00,-6.7612611260e-15,-2.5000000000e-01,-2.5000000000e-01,-9.6086493860e-13,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,9.5935594210e-13
0.0000000000e+00,0.0000000000e+00,-1.7423181740e-16,-2.5000000000e-01,-2.5000000000e-01,-9.5835563490e-13,-1.0000000000e-01,-1.0000000000e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,9.5935641520e-13
0.0000000000e+00,0.0000000000e+00,-4.5304786340e-16,-2.5000000000e-01,-2.5000000000e-01,-9.5919214620e-13,-2.0000000000e-01,-2.0000000000e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,9.5935714420e-13
0.0000000000e+00,0.0000000000e+00,-1.1849400230e-15,-2.5000000000e-01,-2.5000000000e-01,-9.6271230330e-13,-3.0000000000e-01,-3.0000000000e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,9.5935835000e-13
0.0000000000e+00,0.0000000000e+00,1.0455884290e-15,-2.5000000000e-01,-2.5000000000e-01,-9.6550064990e-13,-4.0000000000e-01,-4.0000000000e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,9.5936050090e-13
0.0000000000e+00,0.0000000000e+00,3.4852291950e-15,-2.5000000000e-01,-2.5000000000e-01,-9.5480146600e-13,-5.0000000000e-01,-5.0000000000e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,9.5936491800e-13
0.0000000000e+00,0.0000000000e+00,3.2412657540e-15,-2.5000000000e-01,-2.5000000000e-01,-9.5975143050e-13,-6.0000000000e-01,-6.0000000000e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,9.5937623610e-13
0.0000000000e+00,0.0000000000e+00,-5.1580644350e-15,-2.5000000000e-01,-2.5000000000e-01,-9.6501740490e-13,-7.0000000000e-01,-7.0000000000e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,9.5941459210e-13
0.0000000000e+00,0.0000000000e+00,-2.6486996960e-15,-2.5000000000e-01,-2.5000000000e-01,-9.6200008630e-13,-8.0000000000e-01,-8.0000000000e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,9.5958553670e-13
0.0000000000e+00,0.0000000000e+00,4.8795238310e-15,-2.5000000000e-01,-2.5000000000e-01,-9.6225333920e-13,-9.0000000000e-01,-9.0000000000e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,9.6049655850e-13
0.0000000000e+00,0.0000000000e+00,5.6544789980e-15,-2.5000000000e-01,-2.5000000000e-01,-9.6770025430e-13,-1.0000000000e+00,-1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,9.6535021080e-13
0.0000000000e+00,0.0000000000e+00,3.4059388610e-15,-2.5000000000e-01,-2.5000000000e-01,-9.8711827280e-13,-1.1000000000e+00,-1.1000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,9.8240975170e-13
0.0000000000e+00,0.0000000000e+00,9.5501433490e-14,-2.5000000000e-01,-2.5000000000e-01,-1.0986410650e-12,-1.2000000000e+00,-1.2000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0028721350e-12
