"Source Voltage","Source Int. Voltage","Source Current","Drain Voltage","Drain Int. Voltage","Drain Current","Gate Voltage","Gate Int. Voltage","Gate Current","Substrate Voltage","Substrate Int. Voltage","Substrate Current"
0.0000000000e+00,0.0000000000e+00,7.8417019190e-16,-2.5000000000e-01,-2.5000000000e-01,-9.7215204400e-13,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,9.7160034370e-13
0.0000000000e+00,0.0000000000e+00,2.3525109010e-16,-2.5000000000e-01,-2.5000000000e-01,-9.7128074390e-13,-1.0000000000e-01,-1.0000000000e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,9.7160057700e-13
0.0000000000e+00,0.0000000000e+00,7.4931818920e-16,-2.5000000000e-01,-2.5000000000e-01,-9.7077539000e-13,-2.0000000000e-01,-2.0000000000e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,9.7160116820e-13
0.0000000000e+00,0.0000000000e+00,1.2982372970e-15,-2.5000000000e-01,-2.5000000000e-01,-9.7160312590e-13,-3.0000000000e-01,-3.0000000000e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,9.7160331640e-13
0.0000000000e+00,0.0000000000e+00,1.4550713320e-15,-2.5000000000e-01,-2.5000000000e-01,-9.7089737670e-13,-4.0000000000e-01,-4.0000000000e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,9.7161624190e-13
0.0000000000e+00,0.0000000000e+00,6.4476217090e-16,-2.5000000000e-01,-2.5000000000e-01,-9.7145505280e-13,-5.0000000000e-01,-5.0000000000e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,9.7175646020e-13
0.0000000000e+00,0.0000000000e+00,7.4931872210e-16,-2.5000000000e-01,-2.5000000000e-01,-9.7351198490e-13,-6.0000000000e-01,-6.0000000000e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,9.7387557970e-13
0.0000000000e+00,0.0000000000e+00,1.7951035800e-15,-2.5000000000e-01,-2.5000000000e-01,-9.9257351110e-13,-7.0000000000e-01,-7.0000000000e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,9.9276523770e-13
0.0000000000e+00,0.0000000000e+00,9.1300037310e-14,-2.5000000000e-01,-2.5000000000e-01,-1.1179666570e-12,-8.0000000000e-01,-8.0000000000e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0286450060e-12
0.0000000000e+00,0.0000000000e+00,2.3790279690e-12,-2.5000000000e-01,-2.5000000000e-01,-3.4163741600e-12,-9.0000000000e-01,-9.0000000000e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0390955430e-12
0.0000000000e+00,0.0000000000e+00,5.1256933990e-11,-2.5000000000e-01,-2.5000000000e-01,-5.2300423020e-11,-1.0000000000e+00,-1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0437905290e-12
0.0000000000e+00,0.0000000000e+00,5.1702756750e-10,-2.5000000000e-01,-2.5000000000e-01,-5.1809165440e-10,-1.1000000000e+00,-1.1000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0654412830e-12
0.0000000000e+00,0.0000000000e+00,2.0245963940e-09,-2.5000000000e-01,-2.5000000000e-01,-2.0256948400e-09,-1.2000000000e+00,-1.2000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0992963710e-12
0.0000000000e+00,0.0000000000e+00,4.7568482430e-09,-2.5000000000e-01,-2.5000000000e-01,-4.7579781940e-09,-1.3000000000e+00,-1.3000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.1302109310e-12
0.0000000000e+00,0.0000000000e+00,8.2729441460e-09,-2.5000000000e-01,-2.5000000000e-01,-8.2740925140e-09,-1.4000000000e+00,-1.4000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.1499852670e-12
0.0000000000e+00,0.0000000000e+00,1.2005857670e-08,-2.5000000000e-01,-2.5000000000e-01,-1.2007017870e-08,-1.5000000000e+00,-1.5000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.1608726420e-12
0.0000000000e+00,0.0000000000e+00,1.5720022070e-08,-2.5000000000e-01,-2.5000000000e-01,-1.5721187640e-08,-1.6000000000e+00,-1.6000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.1672113190e-12
0.0000000000e+00,0.0000000000e+00,1.9344021390e-08,-2.5000000000e-01,-2.5000000000e-01,-1.9345190340e-08,-1.7000000000e+00,-1.7000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.1712352400e-12
0.0000000000e+00,0.0000000000e+00,2.2857396890e-08,-2.5000000000e-01,-2.5000000000e-01,-2.2858568620e-08,-1.8000000000e+00,-1.8000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.1739724870e-12
0.0000000000e+00,0.0000000000e+00,2.6258658220e-08,-2.5000000000e-01,-2.5000000000e-01,-2.6259832350e-08,-1.9000000000e+00,-1.9000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.1759414470e-12
0.0000000000e+00,0.0000000000e+00,2.9551811000e-08,-2.5000000000e-01,-2.5000000000e-01,-2.9552985650e-08,-2.0000000000e+00,-2.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.1774175660e-12
0.0000000000e+00,0.0000000000e+00,3.2743076250e-08,-2.5000000000e-01,-2.5000000000e-01,-3.2744253940e-08,-2.1000000000e+00,-2.1000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.1785604550e-12
0.0000000000e+00,0.0000000000e+00,3.5839211500e-08,-2.5000000000e-01,-2.5000000000e-01,-3.5840390540e-08,-2.2000000000e+00,-2.2000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.1794681660e-12
0.0000000000e+00,0.0000000000e+00,3.8846878890e-08,-2.5000000000e-01,-2.5000000000e-01,-3.8848058260e-08,-2.3000000000e+00,-2.3000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.1802042320e-12
0.0000000000e+00,0.0000000000e+00,4.1772350430e-08,-2.5000000000e-01,-2.5000000000e-01,-4.1773529430e-08,-2.4000000000e+00,-2.4000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.1808113500e-12
0.0000000000e+00,0.0000000000e+00,4.4621410320e-08,-2.5000000000e-01,-2.5000000000e-01,-4.4622591060e-08,-2.5000000000e+00,-2.5000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.1813192790e-12
0.0000000000e+00,0.0000000000e+00,4.7399331980e-08,-2.5000000000e-01,-2.5000000000e-01,-4.7400512590e-08,-2.6000000000e+00,-2.6000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.1817493590e-12
0.0000000000e+00,0.0000000000e+00,5.0110912830e-08,-2.5000000000e-01,-2.5000000000e-01,-5.0112093450e-08,-2.7000000000e+00,-2.7000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.1821172520e-12
0.0000000000e+00,0.0000000000e+00,5.2760545200e-08,-2.5000000000e-01,-2.5000000000e-01,-5.2761726830e-08,-2.8000000000e+00,-2.8000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.1824347900e-12
0.0000000000e+00,0.0000000000e+00,5.5352299180e-08,-2.5000000000e-01,-2.5000000000e-01,-5.5353479870e-08,-2.9000000000e+00,-2.9000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.1827112610e-12
0.0000000000e+00,0.0000000000e+00,5.7885723730e-08,-2.5000000000e-01,-2.5000000000e-01,-5.7886903960e-08,-3.0000000000e+00,-3.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.1829425410e-12
