"Source Voltage","Source Int. Voltage","Source Current","Drain Voltage","Drain Int. Voltage","Drain Current","Gate Voltage","Gate Int. Voltage","Gate Current","Substrate Voltage","Substrate Int. Voltage","Substrate Current"
0.0000000000e+00,0.0000000000e+00,4.7922542830e-17,-1.0000000000e+00,-1.0000000000e+00,-2.6108648860e-12,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.6106070110e-12
0.0000000000e+00,0.0000000000e+00,-8.7119716330e-18,-1.0000000000e+00,-1.0000000000e+00,-2.6104325030e-12,-1.0000000000e-01,-1.0000000000e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.6106072130e-12
0.0000000000e+00,0.0000000000e+00,7.6249033910e-18,-1.0000000000e+00,-1.0000000000e+00,-2.6105414160e-12,-2.0000000000e-01,-2.0000000000e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.6106076590e-12
0.0000000000e+00,0.0000000000e+00,1.0891354860e-16,-1.0000000000e+00,-1.0000000000e+00,-2.6104139900e-12,-3.0000000000e-01,-3.0000000000e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.6106089760e-12
0.0000000000e+00,0.0000000000e+00,5.0100790490e-17,-1.0000000000e+00,-1.0000000000e+00,-2.6102397380e-12,-4.0000000000e-01,-4.0000000000e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.6106146860e-12
0.0000000000e+00,0.0000000000e+00,4.7922549130e-17,-1.0000000000e+00,-1.0000000000e+00,-2.6105175230e-12,-5.0000000000e-01,-5.0000000000e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.6106572700e-12
0.0000000000e+00,0.0000000000e+00,-4.5742017340e-17,-1.0000000000e+00,-1.0000000000e+00,-2.6110475180e-12,-6.0000000000e-01,-6.0000000000e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.6111541490e-12
0.0000000000e+00,0.0000000000e+00,4.1412095460e-17,-1.0000000000e+00,-1.0000000000e+00,-2.6172301210e-12,-7.0000000000e-01,-7.0000000000e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.6172341110e-12
0.0000000000e+00,0.0000000000e+00,9.0854754490e-15,-1.0000000000e+00,-1.0000000000e+00,-2.6547517830e-12,-8.0000000000e-01,-8.0000000000e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.6457445970e-12
0.0000000000e+00,0.0000000000e+00,3.0853322790e-13,-1.0000000000e+00,-1.0000000000e+00,-2.9774818980e-12,-9.0000000000e-01,-9.0000000000e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.6691955880e-12
0.0000000000e+00,0.0000000000e+00,6.2645275640e-12,-1.0000000000e+00,-1.0000000000e+00,-8.9398624220e-12,-1.0000000000e+00,-1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.6756066310e-12
0.0000000000e+00,0.0000000000e+00,9.4675040140e-11,-1.0000000000e+00,-1.0000000000e+00,-9.7360743720e-11,-1.1000000000e+00,-1.1000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.6856852500e-12
0.0000000000e+00,0.0000000000e+00,5.8568617020e-10,-1.0000000000e+00,-1.0000000000e+00,-5.8839948950e-10,-1.2000000000e+00,-1.2000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.7133347350e-12
0.0000000000e+00,0.0000000000e+00,1.7799744850e-09,-1.0000000000e+00,-1.0000000000e+00,-1.7827239450e-09,-1.3000000000e+00,-1.3000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.7496156540e-12
0.0000000000e+00,0.0000000000e+00,3.7756078440e-09,-1.0000000000e+00,-1.0000000000e+00,-3.7783960130e-09,-1.4000000000e+00,-1.4000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.7882864160e-12
0.0000000000e+00,0.0000000000e+00,6.5870159610e-09,-1.0000000000e+00,-1.0000000000e+00,-6.5898436790e-09,-1.5000000000e+00,-1.5000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.8278328770e-12
