"Source Voltage","Source Int. Voltage","Source Current","Drain Voltage","Drain Int. Voltage","Drain Current","Gate Voltage","Gate Int. Voltage","Gate Current","Substrate Voltage","Substrate Int. Voltage","Substrate Current"
0.0000000000e+00,0.0000000000e+00,-6.0362312340e-12,-2.5000000000e-01,-2.5000000000e-01,-6.1551243370e-12,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.0000000000e+00,3.0000000000e+00,1.2191347960e-11
0.0000000000e+00,0.0000000000e+00,-6.0607146810e-12,-2.5000000000e-01,-2.5000000000e-01,-6.1802743170e-12,-1.0000000000e-01,-1.0000000000e-01,0.0000000000e+00,3.0000000000e+00,3.0000000000e+00,1.2241034060e-11
0.0000000000e+00,0.0000000000e+00,-6.0820377320e-12,-2.5000000000e-01,-2.5000000000e-01,-6.2026245820e-12,-2.0000000000e-01,-2.0000000000e-01,0.0000000000e+00,3.0000000000e+00,3.0000000000e+00,1.2284769190e-11
0.0000000000e+00,0.0000000000e+00,-6.1009121350e-12,-2.5000000000e-01,-2.5000000000e-01,-6.2224739890e-12,-3.0000000000e-01,-3.0000000000e-01,0.0000000000e+00,3.0000000000e+00,3.0000000000e+00,1.2323435080e-11
0.0000000000e+00,0.0000000000e+00,-6.1232827100e-12,-2.5000000000e-01,-2.5000000000e-01,-6.2447817700e-12,-4.0000000000e-01,-4.0000000000e-01,0.0000000000e+00,3.0000000000e+00,3.0000000000e+00,1.2368063030e-11
0.0000000000e+00,0.0000000000e+00,-6.1486599790e-12,-2.5000000000e-01,-2.5000000000e-01,-6.2692577790e-12,-5.0000000000e-01,-5.0000000000e-01,0.0000000000e+00,3.0000000000e+00,3.0000000000e+00,1.2417862490e-11
0.0000000000e+00,0.0000000000e+00,-6.1702860040e-12,-2.5000000000e-01,-2.5000000000e-01,-6.2896974480e-12,-6.0000000000e-01,-6.0000000000e-01,0.0000000000e+00,3.0000000000e+00,3.0000000000e+00,1.2460028400e-11
0.0000000000e+00,0.0000000000e+00,-6.1872384420e-12,-2.5000000000e-01,-2.5000000000e-01,-6.3059269930e-12,-7.0000000000e-01,-7.0000000000e-01,0.0000000000e+00,3.0000000000e+00,3.0000000000e+00,1.2493146390e-11
0.0000000000e+00,0.0000000000e+00,-6.2051054380e-12,-2.5000000000e-01,-2.5000000000e-01,-6.3228840750e-12,-8.0000000000e-01,-8.0000000000e-01,0.0000000000e+00,3.0000000000e+00,3.0000000000e+00,1.2527857450e-11
0.0000000000e+00,0.0000000000e+00,-6.2281586400e-12,-2.5000000000e-01,-2.5000000000e-01,-6.3446182880e-12,-9.0000000000e-01,-9.0000000000e-01,0.0000000000e+00,3.0000000000e+00,3.0000000000e+00,1.2572844510e-11
0.0000000000e+00,0.0000000000e+00,-6.2538378850e-12,-2.5000000000e-01,-2.5000000000e-01,-6.3692448020e-12,-1.0000000000e+00,-1.0000000000e+00,0.0000000000e+00,3.0000000000e+00,3.0000000000e+00,1.2623090330e-11
0.0000000000e+00,0.0000000000e+00,-6.2740434550e-12,-2.5000000000e-01,-2.5000000000e-01,-6.3896188270e-12,-1.1000000000e+00,-1.1000000000e+00,0.0000000000e+00,3.0000000000e+00,3.0000000000e+00,1.2663679480e-11
0.0000000000e+00,0.0000000000e+00,-6.2845725620e-12,-2.5000000000e-01,-2.5000000000e-01,-6.4050719530e-12,-1.2000000000e+00,-1.2000000000e+00,0.0000000000e+00,3.0000000000e+00,3.0000000000e+00,1.2689726060e-11
0.0000000000e+00,0.0000000000e+00,-6.2196311990e-12,-2.5000000000e-01,-2.5000000000e-01,-6.4869108270e-12,-1.3000000000e+00,-1.3000000000e+00,0.0000000000e+00,3.0000000000e+00,3.0000000000e+00,1.2706607200e-11
0.0000000000e+00,0.0000000000e+00,-3.6989469840e-12,-2.5000000000e-01,-2.5000000000e-01,-9.0129785770e-12,-1.4000000000e+00,-1.4000000000e+00,0.0000000000e+00,3.0000000000e+00,3.0000000000e+00,1.2711950350e-11
0.0000000000e+00,0.0000000000e+00,5.8673284450e-11,-2.5000000000e-01,-2.5000000000e-01,-7.1390905230e-11,-1.5000000000e+00,-1.5000000000e+00,0.0000000000e+00,3.0000000000e+00,3.0000000000e+00,1.2717724480e-11
0.0000000000e+00,0.0000000000e+00,5.1246637860e-10,-2.5000000000e-01,-2.5000000000e-01,-5.2520027240e-10,-1.6000000000e+00,-1.6000000000e+00,0.0000000000e+00,3.0000000000e+00,3.0000000000e+00,1.2733882970e-11
0.0000000000e+00,0.0000000000e+00,1.6795151580e-09,-2.5000000000e-01,-2.5000000000e-01,-1.6922666990e-09,-1.7000000000e+00,-1.7000000000e+00,0.0000000000e+00,3.0000000000e+00,3.0000000000e+00,1.2751511320e-11
