"Source Voltage","Source Int. Voltage","Source Current","Drain Voltage","Drain Int. Voltage","Drain Current","Gate Voltage","Gate Int. Voltage","Gate Current","Substrate Voltage","Substrate Int. Voltage","Substrate Current"
0.0000000000e+00,0.0000000000e+00,-6.3764142770e-12,-2.5000000000e-01,-2.5000000000e-01,-5.6619290940e-12,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.0000000000e+00,3.0000000000e+00,1.2038266130e-11
0.0000000000e+00,0.0000000000e+00,-6.4067683010e-12,-2.5000000000e-01,-2.5000000000e-01,-5.6681143220e-12,-1.0000000000e-01,-1.0000000000e-01,0.0000000000e+00,3.0000000000e+00,3.0000000000e+00,1.2083397030e-11
0.0000000000e+00,0.0000000000e+00,-6.4512238860e-12,-2.5000000000e-01,-2.5000000000e-01,-5.6751276170e-12,-2.0000000000e-01,-2.0000000000e-01,0.0000000000e+00,3.0000000000e+00,3.0000000000e+00,1.2129057070e-11
0.0000000000e+00,0.0000000000e+00,-6.4787262520e-12,-2.5000000000e-01,-2.5000000000e-01,-5.6909508700e-12,-3.0000000000e-01,-3.0000000000e-01,0.0000000000e+00,3.0000000000e+00,3.0000000000e+00,1.2173256450e-11
0.0000000000e+00,0.0000000000e+00,-6.5132684480e-12,-2.5000000000e-01,-2.5000000000e-01,-5.7022783120e-12,-4.0000000000e-01,-4.0000000000e-01,0.0000000000e+00,3.0000000000e+00,3.0000000000e+00,1.2218625550e-11
0.0000000000e+00,0.0000000000e+00,-6.5435791630e-12,-2.5000000000e-01,-2.5000000000e-01,-5.7086484460e-12,-5.0000000000e-01,-5.0000000000e-01,0.0000000000e+00,3.0000000000e+00,3.0000000000e+00,1.2261346610e-11
0.0000000000e+00,0.0000000000e+00,-6.5785029690e-12,-2.5000000000e-01,-2.5000000000e-01,-5.7290392490e-12,-6.0000000000e-01,-6.0000000000e-01,0.0000000000e+00,3.0000000000e+00,3.0000000000e+00,1.2300752390e-11
0.0000000000e+00,0.0000000000e+00,-6.6066362870e-12,-2.5000000000e-01,-2.5000000000e-01,-5.7399070150e-12,-7.0000000000e-01,-7.0000000000e-01,0.0000000000e+00,3.0000000000e+00,3.0000000000e+00,1.2343668050e-11
0.0000000000e+00,0.0000000000e+00,-6.6388452480e-12,-2.5000000000e-01,-2.5000000000e-01,-5.7499915330e-12,-8.0000000000e-01,-8.0000000000e-01,0.0000000000e+00,3.0000000000e+00,3.0000000000e+00,1.2388324440e-11
0.0000000000e+00,0.0000000000e+00,-6.6613604170e-12,-2.5000000000e-01,-2.5000000000e-01,-5.7658724220e-12,-9.0000000000e-01,-9.0000000000e-01,0.0000000000e+00,3.0000000000e+00,3.0000000000e+00,1.2426306890e-11
0.0000000000e+00,0.0000000000e+00,-6.6703369380e-12,-2.5000000000e-01,-2.5000000000e-01,-5.7869034450e-12,-1.0000000000e+00,-1.0000000000e+00,0.0000000000e+00,3.0000000000e+00,3.0000000000e+00,1.2460050360e-11
0.0000000000e+00,0.0000000000e+00,-6.6970966430e-12,-2.5000000000e-01,-2.5000000000e-01,-5.7907880840e-12,-1.1000000000e+00,-1.1000000000e+00,0.0000000000e+00,3.0000000000e+00,3.0000000000e+00,1.2499412540e-11
0.0000000000e+00,0.0000000000e+00,-6.7306209390e-12,-2.5000000000e-01,-2.5000000000e-01,-5.8139160160e-12,-1.2000000000e+00,-1.2000000000e+00,0.0000000000e+00,3.0000000000e+00,3.0000000000e+00,1.2545946860e-11
0.0000000000e+00,0.0000000000e+00,-6.7544319940e-12,-2.5000000000e-01,-2.5000000000e-01,-5.8364153650e-12,-1.3000000000e+00,-1.3000000000e+00,0.0000000000e+00,3.0000000000e+00,3.0000000000e+00,1.2588602370e-11
0.0000000000e+00,0.0000000000e+00,-6.7630591520e-12,-2.5000000000e-01,-2.5000000000e-01,-5.8538606390e-12,-1.4000000000e+00,-1.4000000000e+00,0.0000000000e+00,3.0000000000e+00,3.0000000000e+00,1.2620304260e-11
