"Source Voltage","Source Int. Voltage","Source Current","Drain Voltage","Drain Int. Voltage","Drain Current","Gate Voltage","Gate Int. Voltage","Gate Current","Substrate Voltage","Substrate Int. Voltage","Substrate Current"
0.0000000000e+00,0.0000000000e+00,-7.9102200790e-12,-2.5000000000e-01,-2.5000000000e-01,-8.6854550850e-12,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000000e+00,5.0000000000e+00,1.6595110530e-11
0.0000000000e+00,0.0000000000e+00,-7.9207742040e-12,-2.5000000000e-01,-2.5000000000e-01,-8.7027383470e-12,-1.0000000000e-01,-1.0000000000e-01,0.0000000000e+00,5.0000000000e+00,5.0000000000e+00,1.6622948220e-11
0.0000000000e+00,0.0000000000e+00,-7.9402963840e-12,-2.5000000000e-01,-2.5000000000e-01,-8.7281970770e-12,-2.0000000000e-01,-2.0000000000e-01,0.0000000000e+00,5.0000000000e+00,5.0000000000e+00,1.6668774260e-11
0.0000000000e+00,0.0000000000e+00,-7.9694573560e-12,-2.5000000000e-01,-2.5000000000e-01,-8.7629725690e-12,-3.0000000000e-01,-3.0000000000e-01,0.0000000000e+00,5.0000000000e+00,5.0000000000e+00,1.6731585580e-11
0.0000000000e+00,0.0000000000e+00,-7.9996990000e-12,-2.5000000000e-01,-2.5000000000e-01,-8.7966330220e-12,-4.0000000000e-01,-4.0000000000e-01,0.0000000000e+00,5.0000000000e+00,5.0000000000e+00,1.6796152000e-11
0.0000000000e+00,0.0000000000e+00,-8.0222625590e-12,-2.5000000000e-01,-2.5000000000e-01,-8.8241483370e-12,-5.0000000000e-01,-5.0000000000e-01,0.0000000000e+00,5.0000000000e+00,5.0000000000e+00,1.6845145500e-11
0.0000000000e+00,0.0000000000e+00,-8.0347515100e-12,-2.5000000000e-01,-2.5000000000e-01,-8.8404208170e-12,-6.0000000000e-01,-6.0000000000e-01,0.0000000000e+00,5.0000000000e+00,5.0000000000e+00,1.6874891360e-11
0.0000000000e+00,0.0000000000e+00,-8.0418367920e-12,-2.5000000000e-01,-2.5000000000e-01,-8.8513064870e-12,-7.0000000000e-01,-7.0000000000e-01,0.0000000000e+00,5.0000000000e+00,5.0000000000e+00,1.6891300380e-11
0.0000000000e+00,0.0000000000e+00,-8.0449220530e-12,-2.5000000000e-01,-2.5000000000e-01,-8.8567802550e-12,-8.0000000000e-01,-8.0000000000e-01,0.0000000000e+00,5.0000000000e+00,5.0000000000e+00,1.6901112470e-11
0.0000000000e+00,0.0000000000e+00,-8.0478329140e-12,-2.5000000000e-01,-2.5000000000e-01,-8.8625673600e-12,-9.0000000000e-01,-9.0000000000e-01,0.0000000000e+00,5.0000000000e+00,5.0000000000e+00,1.6909306300e-11
