"Source Voltage","Source Int. Voltage","Source Current","Drain Voltage","Drain Int. Voltage","Drain Current","Gate Voltage","Gate Int. Voltage","Gate Current","Substrate Voltage","Substrate Int. Voltage","Substrate Current"
0.0000000000e+00,0.0000000000e+00,2.4879742480e-06,-2.5000000000e-01,-2.5000000000e-01,6.2132020540e-07,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-1.0000000000e+00,-1.0000000000e+00,-3.1092944530e-06
0.0000000000e+00,0.0000000000e+00,2.4877998040e-06,-2.5000000000e-01,-2.5000000000e-01,6.2144939950e-07,-1.0000000000e-01,-1.0000000000e-01,0.0000000000e+00,-1.0000000000e+00,-1.0000000000e+00,-3.1092492040e-06
0.0000000000e+00,0.0000000000e+00,2.4876189830e-06,-2.5000000000e-01,-2.5000000000e-01,6.2158339290e-07,-2.0000000000e-01,-2.0000000000e-01,0.0000000000e+00,-1.0000000000e+00,-1.0000000000e+00,-3.1092023760e-06
0.0000000000e+00,0.0000000000e+00,2.4874315370e-06,-2.5000000000e-01,-2.5000000000e-01,6.2172245640e-07,-3.0000000000e-01,-3.0000000000e-01,0.0000000000e+00,-1.0000000000e+00,-1.0000000000e+00,-3.1091539930e-06
0.0000000000e+00,0.0000000000e+00,2.4872374010e-06,-2.5000000000e-01,-2.5000000000e-01,6.2186679210e-07,-4.0000000000e-01,-4.0000000000e-01,0.0000000000e+00,-1.0000000000e+00,-1.0000000000e+00,-3.1091041940e-06
0.0000000000e+00,0.0000000000e+00,2.4870369300e-06,-2.5000000000e-01,-2.5000000000e-01,6.2201643090e-07,-5.0000000000e-01,-5.0000000000e-01,0.0000000000e+00,-1.0000000000e+00,-1.0000000000e+00,-3.1090533610e-06
0.0000000000e+00,0.0000000000e+00,2.4868314150e-06,-2.5000000000e-01,-2.5000000000e-01,6.2217100000e-07,-6.0000000000e-01,-6.0000000000e-01,0.0000000000e+00,-1.0000000000e+00,-1.0000000000e+00,-3.1090024150e-06
0.0000000000e+00,0.0000000000e+00,2.4866243590e-06,-2.5000000000e-01,-2.5000000000e-01,6.2232917520e-07,-7.0000000000e-01,-7.0000000000e-01,0.0000000000e+00,-1.0000000000e+00,-1.0000000000e+00,-3.1089535340e-06
0.0000000000e+00,0.0000000000e+00,2.4864250030e-06,-2.5000000000e-01,-2.5000000000e-01,6.2248722670e-07,-8.0000000000e-01,-8.0000000000e-01,0.0000000000e+00,-1.0000000000e+00,-1.0000000000e+00,-3.1089122290e-06
0.0000000000e+00,0.0000000000e+00,2.4862593260e-06,-2.5000000000e-01,-2.5000000000e-01,6.2263472850e-07,-9.0000000000e-01,-9.0000000000e-01,0.0000000000e+00,-1.0000000000e+00,-1.0000000000e+00,-3.1088940550e-06
0.0000000000e+00,0.0000000000e+00,2.4862024410e-06,-2.5000000000e-01,-2.5000000000e-01,6.2274338200e-07,-1.0000000000e+00,-1.0000000000e+00,0.0000000000e+00,-1.0000000000e+00,-1.0000000000e+00,-3.1089458230e-06
0.0000000000e+00,0.0000000000e+00,2.4863359850e-06,-2.5000000000e-01,-2.5000000000e-01,6.2280192660e-07,-1.1000000000e+00,-1.1000000000e+00,0.0000000000e+00,-1.0000000000e+00,-1.0000000000e+00,-3.1091379110e-06
0.0000000000e+00,0.0000000000e+00,2.4866166890e-06,-2.5000000000e-01,-2.5000000000e-01,6.2287186200e-07,-1.2000000000e+00,-1.2000000000e+00,0.0000000000e+00,-1.0000000000e+00,-1.0000000000e+00,-3.1094885520e-06
0.0000000000e+00,0.0000000000e+00,2.4869511870e-06,-2.5000000000e-01,-2.5000000000e-01,6.2298096240e-07,-1.3000000000e+00,-1.3000000000e+00,0.0000000000e+00,-1.0000000000e+00,-1.0000000000e+00,-3.1099321500e-06
0.0000000000e+00,0.0000000000e+00,2.4873301330e-06,-2.5000000000e-01,-2.5000000000e-01,6.2303252240e-07,-1.4000000000e+00,-1.4000000000e+00,0.0000000000e+00,-1.0000000000e+00,-1.0000000000e+00,-3.1103626550e-06
0.0000000000e+00,0.0000000000e+00,2.4877354480e-06,-2.5000000000e-01,-2.5000000000e-01,6.2298091540e-07,-1.5000000000e+00,-1.5000000000e+00,0.0000000000e+00,-1.0000000000e+00,-1.0000000000e+00,-3.1107163640e-06
0.0000000000e+00,0.0000000000e+00,2.4881399770e-06,-2.5000000000e-01,-2.5000000000e-01,6.2286281330e-07,-1.6000000000e+00,-1.6000000000e+00,0.0000000000e+00,-1.0000000000e+00,-1.0000000000e+00,-3.1110027900e-06
0.0000000000e+00,0.0000000000e+00,2.4885326340e-06,-2.5000000000e-01,-2.5000000000e-01,6.2270692060e-07,-1.7000000000e+00,-1.7000000000e+00,0.0000000000e+00,-1.0000000000e+00,-1.0000000000e+00,-3.1112395550e-06
