"Source Voltage","Source Int. Voltage","Source Current","Drain Voltage","Drain Int. Voltage","Drain Current","Gate Voltage","Gate Int. Voltage","Gate Current","Substrate Voltage","Substrate Int. Voltage","Substrate Current"
0.0000000000e+00,0.0000000000e+00,2.3667631760e-06,-2.5000000000e-01,-2.5000000000e-01,6.2110348810e-07,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-1.0000000000e+00,-1.0000000000e+00,-2.9878666710e-06
0.0000000000e+00,0.0000000000e+00,2.3666768350e-06,-2.5000000000e-01,-2.5000000000e-01,6.2117047820e-07,-1.0000000000e-01,-1.0000000000e-01,0.0000000000e+00,-1.0000000000e+00,-1.0000000000e+00,-2.9878473150e-06
0.0000000000e+00,0.0000000000e+00,2.3665884090e-06,-2.5000000000e-01,-2.5000000000e-01,6.2123921790e-07,-2.0000000000e-01,-2.0000000000e-01,0.0000000000e+00,-1.0000000000e+00,-1.0000000000e+00,-2.9878276330e-06
0.0000000000e+00,0.0000000000e+00,2.3664978850e-06,-2.5000000000e-01,-2.5000000000e-01,6.2130978540e-07,-3.0000000000e-01,-3.0000000000e-01,0.0000000000e+00,-1.0000000000e+00,-1.0000000000e+00,-2.9878076700e-06
0.0000000000e+00,0.0000000000e+00,2.3664052540e-06,-2.5000000000e-01,-2.5000000000e-01,6.2138225230e-07,-4.0000000000e-01,-4.0000000000e-01,0.0000000000e+00,-1.0000000000e+00,-1.0000000000e+00,-2.9877874990e-06
0.0000000000e+00,0.0000000000e+00,2.3663104790e-06,-2.5000000000e-01,-2.5000000000e-01,6.2145674090e-07,-5.0000000000e-01,-5.0000000000e-01,0.0000000000e+00,-1.0000000000e+00,-1.0000000000e+00,-2.9877672230e-06
0.0000000000e+00,0.0000000000e+00,2.3662136110e-06,-2.5000000000e-01,-2.5000000000e-01,6.2153337360e-07,-6.0000000000e-01,-6.0000000000e-01,0.0000000000e+00,-1.0000000000e+00,-1.0000000000e+00,-2.9877469920e-06
0.0000000000e+00,0.0000000000e+00,2.3661151090e-06,-2.5000000000e-01,-2.5000000000e-01,6.2161219590e-07,-7.0000000000e-01,-7.0000000000e-01,0.0000000000e+00,-1.0000000000e+00,-1.0000000000e+00,-2.9877273010e-06
0.0000000000e+00,0.0000000000e+00,2.3660154840e-06,-2.5000000000e-01,-2.5000000000e-01,6.2169337180e-07,-8.0000000000e-01,-8.0000000000e-01,0.0000000000e+00,-1.0000000000e+00,-1.0000000000e+00,-2.9877088650e-06
0.0000000000e+00,0.0000000000e+00,2.3659156830e-06,-2.5000000000e-01,-2.5000000000e-01,6.2177731970e-07,-9.0000000000e-01,-9.0000000000e-01,0.0000000000e+00,-1.0000000000e+00,-1.0000000000e+00,-2.9876930030e-06
0.0000000000e+00,0.0000000000e+00,2.3658171470e-06,-2.5000000000e-01,-2.5000000000e-01,6.2186510420e-07,-1.0000000000e+00,-1.0000000000e+00,0.0000000000e+00,-1.0000000000e+00,-1.0000000000e+00,-2.9876822550e-06
0.0000000000e+00,0.0000000000e+00,2.3657169460e-06,-2.5000000000e-01,-2.5000000000e-01,6.2196287130e-07,-1.1000000000e+00,-1.1000000000e+00,0.0000000000e+00,-1.0000000000e+00,-1.0000000000e+00,-2.9876798070e-06
0.0000000000e+00,0.0000000000e+00,2.3656092710e-06,-2.5000000000e-01,-2.5000000000e-01,6.2208180940e-07,-1.2000000000e+00,-1.2000000000e+00,0.0000000000e+00,-1.0000000000e+00,-1.0000000000e+00,-2.9876910800e-06
0.0000000000e+00,0.0000000000e+00,2.3654724380e-06,-2.5000000000e-01,-2.5000000000e-01,6.2225086410e-07,-1.3000000000e+00,-1.3000000000e+00,0.0000000000e+00,-1.0000000000e+00,-1.0000000000e+00,-2.9877233070e-06
0.0000000000e+00,0.0000000000e+00,2.3652705870e-06,-2.5000000000e-01,-2.5000000000e-01,6.2250548990e-07,-1.4000000000e+00,-1.4000000000e+00,0.0000000000e+00,-1.0000000000e+00,-1.0000000000e+00,-2.9877760770e-06
0.0000000000e+00,0.0000000000e+00,2.3651025600e-06,-2.5000000000e-01,-2.5000000000e-01,6.2275835510e-07,-1.5000000000e+00,-1.5000000000e+00,0.0000000000e+00,-1.0000000000e+00,-1.0000000000e+00,-2.9878609140e-06
0.0000000000e+00,0.0000000000e+00,2.3650966360e-06,-2.5000000000e-01,-2.5000000000e-01,6.2288197570e-07,-1.6000000000e+00,-1.6000000000e+00,0.0000000000e+00,-1.0000000000e+00,-1.0000000000e+00,-2.9879786140e-06
0.0000000000e+00,0.0000000000e+00,2.3651806950e-06,-2.5000000000e-01,-2.5000000000e-01,6.2291675810e-07,-1.7000000000e+00,-1.7000000000e+00,0.0000000000e+00,-1.0000000000e+00,-1.0000000000e+00,-2.9880974580e-06
0.0000000000e+00,0.0000000000e+00,2.3652959880e-06,-2.5000000000e-01,-2.5000000000e-01,6.2290788490e-07,-1.8000000000e+00,-1.8000000000e+00,0.0000000000e+00,-1.0000000000e+00,-1.0000000000e+00,-2.9882038680e-06
0.0000000000e+00,0.0000000000e+00,2.3654229470e-06,-2.5000000000e-01,-2.5000000000e-01,6.2287404760e-07,-1.9000000000e+00,-1.9000000000e+00,0.0000000000e+00,-1.0000000000e+00,-1.0000000000e+00,-2.9882969950e-06
0.0000000000e+00,0.0000000000e+00,2.3655541630e-06,-2.5000000000e-01,-2.5000000000e-01,6.2282445470e-07,-2.0000000000e+00,-2.0000000000e+00,0.0000000000e+00,-1.0000000000e+00,-1.0000000000e+00,-2.9883786130e-06
