"Source Voltage","Source Int. Voltage","Source Current","Drain Voltage","Drain Int. Voltage","Drain Current","Gate Voltage","Gate Int. Voltage","Gate Current","Substrate Voltage","Substrate Int. Voltage","Substrate Current"
0.0000000000e+00,0.0000000000e+00,3.3652558650e-06,-2.5000000000e-01,-2.5000000000e-01,4.7592801890e-07,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-1.0000000000e+00,-1.0000000000e+00,-3.8411838840e-06
0.0000000000e+00,0.0000000000e+00,3.3641533340e-06,-2.5000000000e-01,-2.5000000000e-01,4.7665220720e-07,-1.0000000000e-01,-1.0000000000e-01,0.0000000000e+00,-1.0000000000e+00,-1.0000000000e+00,-3.8408055430e-06
0.0000000000e+00,0.0000000000e+00,3.3630041150e-06,-2.5000000000e-01,-2.5000000000e-01,4.7740852930e-07,-2.0000000000e-01,-2.0000000000e-01,0.0000000000e+00,-1.0000000000e+00,-1.0000000000e+00,-3.8404126450e-06
0.0000000000e+00,0.0000000000e+00,3.3618063050e-06,-2.5000000000e-01,-2.5000000000e-01,4.7819873530e-07,-3.0000000000e-01,-3.0000000000e-01,0.0000000000e+00,-1.0000000000e+00,-1.0000000000e+00,-3.8400050400e-06
0.0000000000e+00,0.0000000000e+00,3.3605599140e-06,-2.5000000000e-01,-2.5000000000e-01,4.7902364990e-07,-4.0000000000e-01,-4.0000000000e-01,0.0000000000e+00,-1.0000000000e+00,-1.0000000000e+00,-3.8395835630e-06
0.0000000000e+00,0.0000000000e+00,3.3592694840e-06,-2.5000000000e-01,-2.5000000000e-01,4.7988179300e-07,-5.0000000000e-01,-5.0000000000e-01,0.0000000000e+00,-1.0000000000e+00,-1.0000000000e+00,-3.8391512780e-06
0.0000000000e+00,0.0000000000e+00,3.3579503870e-06,-2.5000000000e-01,-2.5000000000e-01,4.8076609100e-07,-6.0000000000e-01,-6.0000000000e-01,0.0000000000e+00,-1.0000000000e+00,-1.0000000000e+00,-3.8387164790e-06
0.0000000000e+00,0.0000000000e+00,3.3566447680e-06,-2.5000000000e-01,-2.5000000000e-01,4.8165570040e-07,-7.0000000000e-01,-7.0000000000e-01,0.0000000000e+00,-1.0000000000e+00,-1.0000000000e+00,-3.8383004690e-06
0.0000000000e+00,0.0000000000e+00,3.3554618740e-06,-2.5000000000e-01,-2.5000000000e-01,4.8249589180e-07,-8.0000000000e-01,-8.0000000000e-01,0.0000000000e+00,-1.0000000000e+00,-1.0000000000e+00,-3.8379577660e-06
0.0000000000e+00,0.0000000000e+00,3.3546434200e-06,-2.5000000000e-01,-2.5000000000e-01,4.8316704560e-07,-9.0000000000e-01,-9.0000000000e-01,0.0000000000e+00,-1.0000000000e+00,-1.0000000000e+00,-3.8378104660e-06
0.0000000000e+00,0.0000000000e+00,3.3542699280e-06,-2.5000000000e-01,-2.5000000000e-01,4.8365096600e-07,-1.0000000000e+00,-1.0000000000e+00,0.0000000000e+00,-1.0000000000e+00,-1.0000000000e+00,-3.8379208940e-06
0.0000000000e+00,0.0000000000e+00,3.3543178420e-06,-2.5000000000e-01,-2.5000000000e-01,4.8403292160e-07,-1.1000000000e+00,-1.1000000000e+00,0.0000000000e+00,-1.0000000000e+00,-1.0000000000e+00,-3.8383507640e-06
0.0000000000e+00,0.0000000000e+00,3.3550156310e-06,-2.5000000000e-01,-2.5000000000e-01,4.8403479280e-07,-1.2000000000e+00,-1.2000000000e+00,0.0000000000e+00,-1.0000000000e+00,-1.0000000000e+00,-3.8390504230e-06
